"","SALE_ID","NEIGHBORHOOD_ID","BUILDING_CLASS_FINAL_ROLL","ADDRESS","APARTMENT_NUMBER","ZIP_CODE","RESIDENTIAL_UNITS","COMMERCIAL_UNITS","GROSS_SQUARE_FEET","YEAR_BUILT","SALE_PRICE","SALE_DATE","DESCRIPTION","TYPE","NEIGHBORHOOD_NAME","BOROUGH_ID"
"9670",1295632,235,"V1","846 4 AVENUE",NA,11232,0,1,0,1989,375000,2016-06-21,"ZONED COMMERCIAL OR MANHATTAN RESIDENTIAL","COMMERCIAL","SUNSET PARK","3"
"9671",1296009,235,"B9","543 53RD STREET",NA,11220,2,0,2880,1910,0,2016-06-22,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9672",1296381,235,"B1","209 31ST   STREET",NA,11232,2,0,1610,1935,0,2016-06-23,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"9673",1296382,235,"B2","322 56TH   STREET",NA,11220,2,0,2352,1901,0,2016-06-23,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"9674",1296383,235,"B1","563 41ST   STREET",NA,11232,2,0,2838,1910,1400000,2016-06-23,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"9675",1296886,235,"B9","634 45TH STREET",NA,11220,2,0,3076,1910,980000,2016-06-24,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9676",1296887,235,"B9","546 57TH STREET",NA,11220,2,0,1922,1910,350000,2016-06-24,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9677",1296888,235,"B9","526 61ST STREET",NA,11220,2,0,2836,1905,0,2016-06-24,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9678",1296889,235,"C6","4612 6 AVENUE, 3",NA,11220,0,0,0,1928,250000,2016-06-24,"WALK-UP COOPERATIVE","RESIDENTIAL","SUNSET PARK","3"
"9679",1297148,235,"A9","186 30TH STREET",NA,11232,1,0,1020,1910,33010,2016-06-25,"MISCELLANEOUS ONE FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9680",1297378,235,"R4","233 34TH STREET","4C",11232,1,0,0,2013,763687,2016-06-27,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9681",1297808,235,"B9","440 50TH STREET",NA,11220,2,0,3012,1901,1300000,2016-06-28,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9682",1297809,235,"C2","566 56TH   STREET",NA,11220,6,0,4398,1931,0,2016-06-28,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9683",1297810,235,"C6","759 42ND STREET, 15",NA,11232,0,0,0,1926,710000,2016-06-28,"WALK-UP COOPERATIVE","RESIDENTIAL","SUNSET PARK","3"
"9684",1298286,235,"B9","445 51ST STREET",NA,11220,2,0,2540,1901,0,2016-06-29,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9685",1298287,235,"B9","433 53RD   STREET",NA,11220,2,0,1760,1920,930000,2016-06-29,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9686",1298288,235,"C2","639 40TH   STREET",NA,11232,6,0,4605,1935,0,2016-06-29,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
